ItemID,subcat_comercial,salado,dulce,frio,caliente,harina,carne,familiar,individual,bebestible,hojas,lacteo,alcohol
1,agua,0,0,1,0,0,0,0,1,1,0,0,0
2,alfajor,0,1,1,0,1,0,0,1,0,0,1,0
3,alino,1,0,1,0,0,0,1,0,0,1,0,0
4,barquillo,0,1,1,0,1,0,0,1,0,0,1,0
5,barra_de_cereal,0,1,1,0,0,0,0,1,0,0,0,0
6,barras,0,1,1,0,0,0,0,1,0,0,0,0
7,bolleria,0,1,1,1,1,0,0,1,0,0,1,0
8,caluga,0,1,1,0,0,0,0,1,0,0,1,0
9,carne_blanca,1,0,1,0,0,1,1,1,0,0,0,0
10,carne_roja,1,0,0,1,0,1,1,1,0,0,0,0
11,cerveza,0,0,1,0,0,0,0,1,1,0,0,1
12,charcuteria,1,0,1,0,0,1,1,1,0,0,0,0
13,chocolate,0,1,1,0,0,0,1,1,0,0,1,0
14,cocktail_congelado,1,0,0,1,1,1,1,0,0,0,1,0
15,complementos_dulces,0,1,1,0,0,0,0,0,0,0,1,0
16,dip,1,0,1,0,0,0,1,1,0,0,1,0
17,empanada_individual,1,0,0,1,1,1,0,1,0,0,0,0
18,empanadita,1,0,0,1,1,1,1,0,0,0,0,0
19,ensalada,1,0,1,0,0,0,0,1,0,1,0,0
20,entrada_familiar,1,0,1,1,1,0,1,0,0,0,0,0
22,familiar_congelado,1,0,0,1,1,1,1,0,0,0,1,0
23,fruta,0,1,1,0,0,0,0,1,0,0,0,0
24,frutos_secos,1,0,1,0,0,0,1,1,0,0,0,0
25,galleta_dulce,0,1,1,0,1,0,1,1,0,0,0,0
26,galleta_salada,1,0,1,0,1,0,0,1,0,0,0,0
27,gaseosa,0,0,1,0,0,0,0,1,1,0,0,0
28,gnocchi,1,0,0,1,1,1,0,1,0,0,1,0
29,helado,0,1,1,0,0,0,1,1,1,0,1,0
30,ice_tea,0,1,1,0,0,0,0,1,1,0,0,0
31,impulso_salado,1,0,1,0,1,0,0,1,0,0,1,0
32,jamon,1,0,1,0,0,1,1,1,0,0,0,0
33,jugo,0,1,1,0,0,0,0,1,1,0,0,0
34,kids,0,1,0,0,0,0,0,1,0,0,1,0
35,kombucha,0,0,1,0,0,0,0,1,1,0,0,1
36,lasana,1,0,0,1,1,1,1,1,0,0,1,0
37,mantequilla,1,0,1,1,0,0,1,0,0,0,1,0
38,map,1,0,0,1,1,1,0,1,0,0,0,0
39,map_familiar,1,0,0,1,1,1,1,0,0,1,0,0
40,mar,1,0,1,1,0,1,1,1,0,0,0,0
41,mix_hojas,1,0,1,0,0,0,0,1,0,1,0,0
42,pan_de_pascua,0,1,1,0,1,0,1,0,0,0,0,0
43,panaderia,1,0,1,1,0,1,0,1,0,0,0,0
44,pastas,1,0,0,1,1,0,1,1,0,0,0,0
45,pasteleria_familiar,0,1,1,0,1,0,1,0,0,0,1,0
46,pisco_sour,0,0,1,0,0,0,1,0,1,0,0,1
47,pizza,1,0,0,1,1,1,1,1,0,0,1,0
48,plato_liviano,1,0,1,1,0,0,0,0,0,1,0,0
49,postre_familiar,0,1,1,0,0,0,1,0,0,0,1,0
50,postre_individual,0,1,1,0,0,0,0,1,0,0,1,0
51,pure_fruta,0,1,1,0,0,0,1,1,0,0,0,0
52,queso,1,0,1,0,0,0,1,1,0,0,1,0
53,queso_laminado,1,0,1,1,0,0,1,1,0,0,1,0
54,quiche,1,0,0,1,1,1,0,1,0,1,1,0
55,regalo,0,0,0,0,0,0,0,0,0,0,0,0
56,salame,1,0,1,0,0,1,1,1,0,0,0,0
57,salsa_pastas,1,0,0,1,1,0,1,1,0,0,1,0
58,sandwich,1,0,1,1,1,1,0,1,0,1,1,0
59,smoothie,0,1,1,0,0,0,0,0,1,0,1,0
60,sopas,1,0,0,1,0,0,0,1,0,1,0,0
61,vegetariano,1,0,1,0,1,0,0,1,0,1,0,0
62,vino,0,0,1,0,0,0,1,0,1,0,0,0
63,yoghurt,0,1,1,0,0,0,0,1,0,0,1,0
